user_id,nickname,platform,gender,region
U20251000000,欢,微信,female,湖北省
U20251000001,勇,微信,female,安徽省
U20251000002,军,抖音,female,重庆市
U20251000003,金凤,微信,male,吉林省
U20251000004,洁,抖音,male,陕西省
U20251000005,丹,微信,female,北京市
U20251000006,冬梅,微信,female,云南省
U20251000007,利,微信,male,内蒙古自治区
U20251000008,静,微信,male,宁夏回族自治区
U20251000009,想,淘宝,female,北京市
U20251000010,宇,微信,male,辽宁省
U20251000011,亮,微信,female,天津市
U20251000012,畅,抖音,female,甘肃省
U20251000013,雪,微信,female,福建省
U20251000014,桂兰,微信,male,浙江省
U20251000015,丹丹,抖音,male,海南省
U20251000016,晶,淘宝,female,河南省
U20251000017,玉华,抖音,male,广西壮族自治区
U20251000018,楠,抖音,female,贵州省
U20251000019,桂荣,淘宝,female,河北省
U20251000020,淑珍,淘宝,female,宁夏回族自治区
U20251000021,丹,淘宝,female,浙江省
U20251000022,琴,淘宝,male,浙江省
U20251000023,英,微信,female,安徽省
U20251000024,亮,抖音,female,江西省
U20251000025,想,淘宝,male,甘肃省
U20251000026,建平,淘宝,male,新疆维吾尔自治区
U20251000027,杰,微信,female,黑龙江省
U20251000028,刚,淘宝,female,安徽省
U20251000029,小红,抖音,male,吉林省
U20251000030,佳,微信,female,上海市
U20251000031,兰英,微信,female,上海市
U20251000032,瑜,淘宝,male,宁夏回族自治区
U20251000033,雪梅,微信,female,甘肃省
U20251000034,敏,淘宝,male,山东省
U20251000035,帆,淘宝,female,湖北省
U20251000036,艳,淘宝,male,新疆维吾尔自治区
U20251000037,华,淘宝,female,天津市
U20251000038,秀云,淘宝,female,内蒙古自治区
U20251000039,丹丹,微信,female,吉林省
U20251000040,桂芳,抖音,female,广东省
U20251000041,海燕,微信,male,湖南省
U20251000042,艳,微信,male,台湾省
U20251000043,玉华,抖音,female,辽宁省
U20251000044,桂花,微信,male,山东省
U20251000045,梅,抖音,female,浙江省
U20251000046,建华,微信,female,云南省
U20251000047,伟,抖音,male,湖北省
U20251000048,慧,微信,male,广西壮族自治区
U20251000049,英,微信,female,天津市
U20251000050,兵,淘宝,male,青海省
U20251000051,丹,微信,female,湖北省
U20251000052,亮,微信,female,台湾省
U20251000053,飞,微信,female,重庆市
U20251000054,斌,微信,male,福建省
U20251000055,海燕,淘宝,male,四川省
U20251000056,文,抖音,male,云南省
U20251000057,莹,微信,female,宁夏回族自治区
U20251000058,桂英,抖音,male,山西省
U20251000059,云,微信,female,云南省
U20251000060,文,淘宝,male,香港特别行政区
U20251000061,斌,淘宝,male,山西省
U20251000062,慧,微信,male,香港特别行政区
U20251000063,龙,淘宝,male,四川省
U20251000064,秀华,抖音,male,陕西省
U20251000065,成,抖音,male,澳门特别行政区
U20251000066,欢,淘宝,male,香港特别行政区
U20251000067,淑兰,微信,male,四川省
U20251000068,建华,抖音,female,福建省
U20251000069,静,淘宝,male,北京市
U20251000070,玉梅,微信,male,辽宁省
U20251000071,伟,抖音,male,福建省
U20251000072,伟,淘宝,female,天津市
U20251000073,帅,微信,female,山东省
U20251000074,玉,抖音,female,北京市
U20251000075,春梅,抖音,male,江苏省
U20251000076,秀兰,淘宝,female,安徽省
U20251000077,倩,淘宝,female,河南省
U20251000078,洋,淘宝,female,广东省
U20251000079,莹,抖音,female,辽宁省
U20251000080,莉,微信,male,广西壮族自治区
U20251000081,淑华,抖音,female,浙江省
U20251000082,玉珍,抖音,female,海南省
U20251000083,宁,微信,male,西藏自治区
U20251000084,欣,微信,female,山东省
U20251000085,亮,淘宝,female,宁夏回族自治区
U20251000086,淑英,淘宝,female,江西省
U20251000087,鹏,微信,female,江苏省
U20251000088,兵,抖音,male,湖南省
U20251000089,玉兰,抖音,female,台湾省
U20251000090,颖,淘宝,female,山东省
U20251000091,鑫,微信,female,辽宁省
U20251000092,燕,微信,female,甘肃省
U20251000093,丽华,淘宝,male,青海省
U20251000094,红霞,淘宝,male,江西省
U20251000095,春梅,抖音,male,河南省
U20251000096,凤英,微信,male,广东省
U20251000097,红,抖音,female,湖北省
U20251000098,桂英,淘宝,male,湖南省
U20251000099,婷,抖音,male,辽宁省
U20251000100,艳,淘宝,female,天津市
U20251000101,淑兰,抖音,male,河南省
U20251000102,桂荣,抖音,female,宁夏回族自治区
U20251000103,柳,抖音,female,山西省
U20251000104,飞,抖音,female,陕西省
U20251000105,涛,微信,male,宁夏回族自治区
U20251000106,岩,淘宝,male,山西省
U20251000107,想,抖音,female,内蒙古自治区
U20251000108,凯,抖音,male,四川省
U20251000109,洋,抖音,female,湖南省
U20251000110,桂珍,抖音,male,江苏省
U20251000111,秀英,淘宝,female,甘肃省
U20251000112,阳,微信,female,海南省
U20251000113,建,淘宝,female,安徽省
U20251000114,慧,淘宝,male,云南省
U20251000115,平,微信,male,海南省
U20251000116,云,抖音,male,辽宁省
U20251000117,秀梅,淘宝,male,黑龙江省
U20251000118,丽,淘宝,female,青海省
U20251000119,桂兰,抖音,male,河南省
U20251000120,淑兰,淘宝,female,内蒙古自治区
U20251000121,鑫,淘宝,female,澳门特别行政区
U20251000122,瑞,微信,male,江西省
U20251000123,婷,微信,male,江西省
U20251000124,鹏,抖音,male,贵州省
U20251000125,丽娟,淘宝,male,新疆维吾尔自治区
U20251000126,欢,抖音,female,贵州省
U20251000127,宇,微信,male,北京市
U20251000128,兵,淘宝,female,重庆市
U20251000129,霞,淘宝,female,湖南省
U20251000130,娟,微信,female,吉林省
U20251000131,桂香,淘宝,male,上海市
U20251000132,帅,抖音,female,安徽省
U20251000133,亮,微信,male,江苏省
U20251000134,璐,抖音,male,陕西省
U20251000135,丽丽,淘宝,male,广西壮族自治区
U20251000136,秀芳,抖音,female,安徽省
U20251000137,洋,淘宝,female,台湾省
U20251000138,龙,抖音,female,安徽省
U20251000139,凤兰,微信,male,河北省
U20251000140,倩,抖音,male,香港特别行政区
U20251000141,岩,抖音,male,广西壮族自治区
U20251000142,刚,抖音,male,贵州省
U20251000143,欣,淘宝,female,黑龙江省
U20251000144,娟,淘宝,female,贵州省
U20251000145,秀兰,抖音,female,辽宁省
U20251000146,英,抖音,male,香港特别行政区
U20251000147,玉英,抖音,male,湖北省
U20251000148,洁,抖音,female,天津市
U20251000149,凤英,淘宝,male,青海省
U20251000150,冬梅,抖音,male,西藏自治区
U20251000151,磊,抖音,female,福建省
U20251000152,荣,微信,female,湖南省
U20251000153,凤英,微信,female,黑龙江省
U20251000154,玉英,抖音,female,辽宁省
U20251000155,桂香,抖音,male,内蒙古自治区
U20251000156,建军,抖音,male,福建省
U20251000157,芳,淘宝,male,青海省
U20251000158,玉珍,微信,female,广东省
U20251000159,飞,淘宝,male,吉林省
U20251000160,晨,抖音,female,台湾省
U20251000161,云,抖音,male,湖北省
U20251000162,波,微信,male,河北省
U20251000163,桂荣,微信,male,甘肃省
U20251000164,建,淘宝,male,西藏自治区
U20251000165,秀珍,淘宝,female,吉林省
U20251000166,淑华,淘宝,female,北京市
U20251000167,敏,微信,male,湖北省
U20251000168,玲,抖音,female,陕西省
U20251000169,丽丽,淘宝,male,重庆市
U20251000170,玉珍,抖音,female,新疆维吾尔自治区
U20251000171,桂兰,淘宝,female,北京市
U20251000172,梅,抖音,female,湖南省
U20251000173,丽华,淘宝,male,河北省
U20251000174,海燕,微信,female,安徽省
U20251000175,丹,抖音,male,山西省
U20251000176,淑兰,微信,male,湖南省
U20251000177,帅,微信,female,重庆市
U20251000178,阳,微信,female,四川省
U20251000179,燕,微信,female,天津市
U20251000180,梅,抖音,male,甘肃省
U20251000181,柳,淘宝,female,辽宁省
U20251000182,桂芝,抖音,male,江苏省
U20251000183,萍,淘宝,male,宁夏回族自治区
U20251000184,慧,微信,female,宁夏回族自治区
U20251000185,瑜,淘宝,male,福建省
U20251000186,丽,淘宝,male,陕西省
U20251000187,帅,微信,male,山东省
U20251000188,桂荣,微信,female,陕西省
U20251000189,峰,微信,male,安徽省
U20251000190,兰英,抖音,female,贵州省
U20251000191,桂珍,抖音,male,河北省
U20251000192,娟,微信,female,江西省
U20251000193,洁,微信,female,贵州省
U20251000194,晨,微信,female,福建省
U20251000195,楠,淘宝,female,贵州省
U20251000196,玉英,抖音,male,河南省
U20251000197,晨,淘宝,female,四川省
U20251000198,峰,微信,female,西藏自治区
U20251000199,敏,淘宝,male,河北省
U20251000200,亮,淘宝,female,天津市
U20251000201,飞,微信,female,吉林省
U20251000202,婷婷,淘宝,male,澳门特别行政区
U20251000203,欢,抖音,male,台湾省
U20251000204,冬梅,微信,female,新疆维吾尔自治区
U20251000205,秀英,抖音,male,内蒙古自治区
U20251000206,冬梅,微信,female,上海市
U20251000207,柳,淘宝,female,浙江省
U20251000208,丹,微信,female,广东省
U20251000209,玉梅,淘宝,male,陕西省
U20251000210,桂芝,淘宝,female,天津市
U20251000211,淑英,淘宝,male,安徽省
U20251000212,杨,微信,female,香港特别行政区
U20251000213,梅,微信,female,香港特别行政区
U20251000214,小红,微信,male,新疆维吾尔自治区
U20251000215,玉兰,微信,male,河南省
U20251000216,秀梅,抖音,male,海南省
U20251000217,柳,抖音,female,天津市
U20251000218,佳,抖音,female,甘肃省
U20251000219,丽丽,淘宝,male,台湾省
U20251000220,辉,淘宝,female,浙江省
U20251000221,芳,微信,male,安徽省
U20251000222,丽丽,抖音,male,甘肃省
U20251000223,秀珍,微信,female,江西省
U20251000224,桂芳,淘宝,male,河北省
U20251000225,柳,抖音,female,台湾省
U20251000226,丽丽,微信,female,吉林省
U20251000227,博,抖音,male,上海市
U20251000228,宁,淘宝,female,广东省
U20251000229,瑞,抖音,female,四川省
U20251000230,晨,抖音,male,宁夏回族自治区
U20251000231,娟,淘宝,male,河南省
U20251000232,秀芳,微信,female,上海市
U20251000233,洋,抖音,female,河南省
U20251000234,志强,淘宝,male,西藏自治区
U20251000235,雪,微信,male,浙江省
U20251000236,刚,淘宝,female,西藏自治区
U20251000237,娟,微信,female,北京市
U20251000238,兵,淘宝,male,湖北省
U20251000239,桂兰,微信,female,重庆市
U20251000240,晨,淘宝,male,北京市
U20251000241,鹏,微信,male,辽宁省
U20251000242,萍,抖音,male,宁夏回族自治区
U20251000243,欢,微信,male,北京市
U20251000244,想,抖音,male,四川省
U20251000245,秀芳,微信,male,天津市
U20251000246,荣,微信,female,云南省
U20251000247,淑华,淘宝,female,广西壮族自治区
U20251000248,桂兰,淘宝,male,海南省
U20251000249,波,淘宝,female,广西壮族自治区
U20251000250,莉,淘宝,male,青海省
U20251000251,兰英,抖音,male,北京市
U20251000252,博,抖音,male,内蒙古自治区
U20251000253,敏,淘宝,female,辽宁省
U20251000254,帆,微信,male,上海市
U20251000255,建军,抖音,female,黑龙江省
U20251000256,平,抖音,male,天津市
U20251000257,雷,微信,female,湖北省
U20251000258,建华,淘宝,male,河北省
U20251000259,萍,微信,female,香港特别行政区
U20251000260,秀华,微信,female,天津市
U20251000261,柳,微信,male,四川省
U20251000262,淑兰,淘宝,male,浙江省
U20251000263,鹏,淘宝,male,吉林省
U20251000264,金凤,微信,male,台湾省
U20251000265,建,微信,female,西藏自治区
U20251000266,淑英,淘宝,male,天津市
U20251000267,秀芳,淘宝,male,上海市
U20251000268,岩,微信,female,云南省
U20251000269,婷婷,微信,male,湖南省
U20251000270,亮,淘宝,male,山东省
U20251000271,红霞,淘宝,female,内蒙古自治区
U20251000272,杰,淘宝,female,湖北省
U20251000273,莉,抖音,female,辽宁省
U20251000274,莉,抖音,female,云南省
U20251000275,柳,微信,male,宁夏回族自治区
U20251000276,玉兰,淘宝,female,台湾省
U20251000277,玉,淘宝,female,陕西省
U20251000278,超,抖音,male,西藏自治区
U20251000279,凤兰,微信,male,河北省
U20251000280,成,淘宝,female,四川省
U20251000281,秀云,微信,male,内蒙古自治区
U20251000282,秀荣,抖音,female,黑龙江省
U20251000283,红梅,抖音,male,河南省
U20251000284,英,微信,male,安徽省
U20251000285,玲,微信,female,天津市
U20251000286,玲,淘宝,female,天津市
U20251000287,军,抖音,male,北京市
U20251000288,璐,微信,female,台湾省
U20251000289,柳,抖音,male,香港特别行政区
U20251000290,佳,淘宝,male,青海省
U20251000291,峰,抖音,male,澳门特别行政区
U20251000292,佳,微信,male,山东省
U20251000293,欣,微信,male,河南省
U20251000294,颖,抖音,female,吉林省
U20251000295,金凤,淘宝,male,宁夏回族自治区
U20251000296,辉,微信,female,吉林省
U20251000297,颖,淘宝,female,澳门特别行政区
U20251000298,璐,微信,male,新疆维吾尔自治区
U20251000299,刚,淘宝,male,湖北省
U20251000300,玉,微信,male,北京市
U20251000301,杰,微信,male,四川省
U20251000302,柳,微信,male,山东省
U20251000303,龙,淘宝,male,北京市
U20251000304,玉华,淘宝,female,台湾省
U20251000305,鹏,抖音,male,香港特别行政区
U20251000306,红霞,微信,male,福建省
U20251000307,晨,微信,male,福建省
U20251000308,健,淘宝,male,宁夏回族自治区
U20251000309,金凤,淘宝,female,贵州省
U20251000310,慧,淘宝,female,海南省
U20251000311,玉英,微信,female,甘肃省
U20251000312,兰英,微信,male,江西省
U20251000313,玉梅,淘宝,male,甘肃省
U20251000314,瑞,微信,female,西藏自治区
U20251000315,萍,淘宝,male,青海省
U20251000316,瑞,淘宝,female,浙江省
U20251000317,畅,淘宝,male,台湾省
U20251000318,颖,微信,female,宁夏回族自治区
U20251000319,秀英,淘宝,male,福建省
U20251000320,丹丹,淘宝,male,上海市
U20251000321,帅,抖音,female,青海省
U20251000322,桂兰,抖音,male,天津市
U20251000323,雪,淘宝,male,台湾省
U20251000324,峰,微信,female,北京市
U20251000325,秀云,淘宝,male,山东省
U20251000326,桂花,微信,male,宁夏回族自治区
U20251000327,娟,淘宝,male,湖北省
U20251000328,晨,抖音,female,北京市
U20251000329,杰,微信,male,甘肃省
U20251000330,海燕,微信,male,安徽省
U20251000331,艳,淘宝,male,河南省
U20251000332,秀兰,微信,male,内蒙古自治区
U20251000333,红霞,淘宝,female,海南省
U20251000334,辉,微信,female,新疆维吾尔自治区
U20251000335,金凤,微信,female,广东省
U20251000336,秀英,抖音,female,浙江省
U20251000337,玉兰,抖音,male,广西壮族自治区
U20251000338,桂花,微信,female,澳门特别行政区
U20251000339,成,抖音,male,北京市
U20251000340,晨,微信,male,山西省
U20251000341,勇,抖音,male,澳门特别行政区
U20251000342,帆,微信,female,上海市
U20251000343,红霞,淘宝,female,福建省
U20251000344,博,抖音,male,江苏省
U20251000345,冬梅,微信,male,重庆市
U20251000346,慧,微信,male,西藏自治区
U20251000347,建平,淘宝,female,上海市
U20251000348,瑜,抖音,male,黑龙江省
U20251000349,文,淘宝,male,北京市
U20251000350,瑜,淘宝,male,重庆市
U20251000351,婷,微信,male,青海省
U20251000352,桂珍,微信,male,辽宁省
U20251000353,柳,微信,female,新疆维吾尔自治区
U20251000354,畅,淘宝,female,河南省
U20251000355,丽,微信,female,澳门特别行政区
U20251000356,楠,淘宝,female,海南省
U20251000357,婷,微信,female,黑龙江省
U20251000358,秀珍,淘宝,male,宁夏回族自治区
U20251000359,婷婷,淘宝,female,江苏省
U20251000360,玉梅,抖音,female,上海市
U20251000361,瑜,抖音,female,广东省
U20251000362,宇,微信,male,甘肃省
U20251000363,雷,淘宝,female,内蒙古自治区
U20251000364,秀荣,抖音,male,陕西省
U20251000365,明,淘宝,female,江苏省
U20251000366,帅,淘宝,female,天津市
U20251000367,洋,微信,female,湖南省
U20251000368,桂芳,抖音,male,香港特别行政区
U20251000369,玲,微信,female,云南省
U20251000370,玉珍,微信,female,重庆市
U20251000371,丽华,淘宝,female,黑龙江省
U20251000372,秀华,淘宝,male,云南省
U20251000373,海燕,抖音,male,安徽省
U20251000374,芳,抖音,male,重庆市
U20251000375,丹,淘宝,female,江苏省
U20251000376,军,微信,male,湖南省
U20251000377,秀荣,淘宝,male,河北省
U20251000378,英,微信,female,山西省
U20251000379,丽丽,抖音,male,贵州省
U20251000380,红梅,抖音,female,四川省
U20251000381,辉,淘宝,female,北京市
U20251000382,玉珍,淘宝,male,河北省
U20251000383,畅,微信,male,江西省
U20251000384,博,微信,male,吉林省
U20251000385,秀珍,微信,male,内蒙古自治区
U20251000386,云,微信,male,海南省
U20251000387,建平,抖音,female,甘肃省
U20251000388,雪,微信,male,澳门特别行政区
U20251000389,杰,抖音,male,安徽省
U20251000390,红,微信,female,上海市
U20251000391,玉华,抖音,male,北京市
U20251000392,玉梅,抖音,male,安徽省
U20251000393,桂芳,微信,female,香港特别行政区
U20251000394,欣,微信,female,内蒙古自治区
U20251000395,荣,抖音,male,台湾省
U20251000396,凤英,淘宝,female,北京市
U20251000397,倩,淘宝,female,新疆维吾尔自治区
U20251000398,娜,抖音,male,安徽省
U20251000399,艳,微信,female,湖南省
U20251000400,丽娟,抖音,female,海南省
U20251000401,芳,淘宝,female,云南省
U20251000402,建国,淘宝,male,山东省
U20251000403,凤兰,抖音,male,江苏省
U20251000404,桂花,抖音,male,河北省
U20251000405,建国,抖音,female,陕西省
U20251000406,凯,抖音,male,广西壮族自治区
U20251000407,梅,抖音,male,山西省
U20251000408,莉,微信,female,吉林省
U20251000409,璐,淘宝,female,湖北省
U20251000410,玉兰,抖音,female,吉林省
U20251000411,伟,微信,male,北京市
U20251000412,娟,抖音,male,广东省
U20251000413,淑兰,微信,female,河北省
U20251000414,柳,淘宝,male,贵州省
U20251000415,荣,淘宝,male,云南省
U20251000416,欣,微信,male,辽宁省
U20251000417,建国,淘宝,female,云南省
U20251000418,柳,淘宝,female,四川省
U20251000419,倩,淘宝,female,澳门特别行政区
U20251000420,丹丹,淘宝,female,安徽省
U20251000421,雪梅,抖音,male,甘肃省
U20251000422,兰英,微信,female,海南省
U20251000423,秀云,淘宝,male,安徽省
U20251000424,波,抖音,female,辽宁省
U20251000425,瑜,淘宝,male,澳门特别行政区
U20251000426,小红,抖音,female,湖北省
U20251000427,旭,淘宝,male,海南省
U20251000428,瑜,微信,female,陕西省
U20251000429,峰,微信,female,青海省
U20251000430,亮,抖音,male,北京市
U20251000431,鹏,淘宝,male,江西省
U20251000432,静,抖音,female,上海市
U20251000433,敏,微信,male,贵州省
U20251000434,阳,抖音,female,山东省
U20251000435,畅,微信,male,云南省
U20251000436,涛,淘宝,male,安徽省
U20251000437,文,淘宝,male,贵州省
U20251000438,萍,抖音,female,吉林省
U20251000439,秀英,微信,female,广东省
U20251000440,洁,抖音,female,江西省
U20251000441,秀梅,微信,female,陕西省
U20251000442,艳,微信,female,山西省
U20251000443,波,淘宝,male,江西省
U20251000444,阳,淘宝,female,湖北省
U20251000445,龙,抖音,male,西藏自治区
U20251000446,波,淘宝,male,香港特别行政区
U20251000447,伟,微信,female,甘肃省
U20251000448,淑兰,抖音,female,海南省
U20251000449,雷,微信,female,四川省
U20251000450,楠,抖音,female,山西省
U20251000451,淑英,抖音,male,吉林省
U20251000452,凤英,淘宝,female,重庆市
U20251000453,利,微信,male,上海市
U20251000454,莹,抖音,female,重庆市
U20251000455,凤兰,淘宝,female,吉林省
U20251000456,梅,淘宝,female,辽宁省
U20251000457,倩,淘宝,female,河北省
U20251000458,文,微信,female,北京市
U20251000459,斌,淘宝,female,陕西省
U20251000460,莉,淘宝,male,新疆维吾尔自治区
U20251000461,宁,淘宝,female,福建省
U20251000462,飞,抖音,male,内蒙古自治区
U20251000463,建,淘宝,female,湖南省
U20251000464,璐,抖音,female,安徽省
U20251000465,旭,抖音,male,浙江省
U20251000466,洋,抖音,female,福建省
U20251000467,梅,抖音,male,上海市
U20251000468,岩,抖音,male,山西省
U20251000469,玲,淘宝,male,北京市
U20251000470,强,微信,male,山西省
U20251000471,桂花,微信,female,河北省
U20251000472,小红,抖音,female,香港特别行政区
U20251000473,玉英,淘宝,male,澳门特别行政区
U20251000474,帆,抖音,male,四川省
U20251000475,柳,抖音,female,宁夏回族自治区
U20251000476,坤,微信,female,广西壮族自治区
U20251000477,玉英,淘宝,male,青海省
U20251000478,桂珍,淘宝,male,陕西省
U20251000479,淑兰,抖音,male,四川省
U20251000480,桂珍,微信,male,广西壮族自治区
U20251000481,秀云,淘宝,female,云南省
U20251000482,柳,微信,male,贵州省
U20251000483,玉梅,抖音,female,青海省
U20251000484,晨,抖音,male,浙江省
U20251000485,秀芳,抖音,female,西藏自治区
U20251000486,桂珍,抖音,male,山西省
U20251000487,凯,抖音,male,浙江省
U20251000488,平,抖音,male,天津市
U20251000489,丽娟,微信,male,湖北省
U20251000490,玉梅,淘宝,male,江西省
U20251000491,梅,抖音,male,香港特别行政区
U20251000492,丽娟,淘宝,female,河南省
U20251000493,兰英,抖音,male,青海省
U20251000494,淑英,淘宝,male,河南省
U20251000495,磊,淘宝,male,云南省
U20251000496,颖,淘宝,male,广东省
U20251000497,华,抖音,male,湖南省
U20251000498,雪,抖音,male,云南省
